"","id","score","%id"
"301","seq00376",-0.421958,41.7
"304","seq00380",-0.369805,53.1
"305","seq00381",-0.36579,45
"306","seq00382",-0.513627,54.3
"313","seq00392",-0.3404,47.3
"315","seq00394",-0.245618,53.9
"316","seq00395",-0.295043,50.7
"317","seq00396",-0.305571,41.7
"318","seq00398",-0.389603,49
"319","seq00399",-0.185118,65.6
"320","seq00400",-0.24054,51.4
"321","seq00401",-0.261723,44.3
"325","seq00408",-0.389689,46.5
"328","seq00412",-0.234829,67.5
"335","seq00420",-0.398372,60.5
"336","seq00421",-0.405988,50
"341","seq00428",-0.389327,40
"349","seq00437",-0.283727,64.2
"350","seq00438",-0.460122,76
"354","seq00442",-0.397914,38.2
"355","seq00443",-0.25811,56.1
"360","seq00448",-0.293501,40
"363","seq00452",-0.388236,48
"380","seq00470",-0.274685,45.2
"386","seq00477",-0.245501,50.7
"391","seq00482",-0.357772,53.3
"398","seq00491",-0.432604,39.3
"408","seq00503",-0.297353,38.2
"409","seq00504",-0.308232,48.6
"416","seq00514",-0.299905,53.7
"420","seq00520",-0.419019,38
"421","seq00523",-0.293809,43.4
"422","seq00524",-0.382726,59.7
"424","seq00527",-0.282508,51.9
"428","seq00532",-0.30817,38.6
"436","seq00542",-0.317841,31.7
"438","seq00544",-0.199313,54.8
"446","seq00556",-0.235736,46.2
"452","seq00562",-0.339558,45.8
"456","seq00567",-0.345283,46.2
"459","seq00570",-0.334929,47.9
"463","seq00576",-0.276164,51.4
"469","seq00583",-0.224291,57.7
"473","seq00587",-0.334052,47.8
"474","seq00588",-0.319329,60.4
"479","seq00595",-0.325572,50
"482","seq00599",-0.297298,46.2
"483","seq00600",-0.411038,48.9
"489","seq00612",-0.293267,39.6
"492","seq00618",-0.234199,39.7
"500","seq00627",-0.269386,55.4
"501","seq00628",-0.356563,44.6
"502","seq00629",-0.337815,59
"510","seq00639",-0.309285,44
"517","seq00647",-0.322629,44.9
"521","seq00652",-0.27861,52.4
"523","seq00654",-0.168514,76.2
"524","seq00655",-0.322262,39.5
"526","seq00658",-0.249241,65.8
"529","seq00661",-0.167909,92.8
"534","seq00668",-0.276714,26.8
"536","seq00670",-0.317522,39.2
"554","seq00691",-0.314556,51.3
"555","seq00693",-0.184405,62.3
"556","seq00694",-0.279495,71.7
"559","seq00698",-0.316158,51.6
"560","seq00699",-0.395503,77.3
"569","seq00710",-0.259223,54.3
"570","seq00711",-0.295853,49.4
"575","seq00717",-0.332675,64.7
"576","seq00718",-0.369148,43.2
"580","seq00723",-0.380674,56.3
"592","seq00738",-0.271748,34.9
"597","seq00746",-0.334925,55
"600","seq00749",-0.228472,57.7
"606","seq00757",-0.262404,59.5
"607","seq00758",-0.409452,46.8
"609","seq00760",-0.418325,57.1
"610","seq00761",-0.500889,61.5
"625","seq00780",-0.429484,36.5
"634","seq00791",-0.321569,51.1
"647","seq00810",-0.309151,40.3
"648","seq00811",-0.225097,72
"650","seq00813",-0.385639,40
"664","seq00831",-0.239822,56.4
"665","seq00832",-0.313829,80.6
"667","seq00835",-0.303671,40
"672","seq00842",-0.436014,33.3
"673","seq00843",-0.288742,28.4
"676","seq00846",-0.339305,43.3
"679","seq00849",-0.186477,66.7
"694","seq00871",-0.254978,44.7
"698","seq00880",-0.315814,42.6
"699","seq00881",-0.35379,44.8
"702","seq00887",-0.366132,41.9
"708","seq00893",-0.322454,46.8
"719","seq00907",-0.439452,45.1
"722","seq00911",-0.389567,41.8
"726","seq00915",-0.288027,52.2
"731","seq00920",-0.39364,36.7
"734","seq00923",-0.367964,42.4
"737","seq00927",-0.272839,37
"740","seq00931",-0.153387,84.2
"742","seq00933",-0.264625,58.7
"744","seq00936",-0.269032,50
"745","seq00937",-0.300981,42.9
"749","seq00944",-0.331494,57.9
"759","seq00958",-0.423666,41
"763","seq00962",-0.311675,43.8
"764","seq00963",-0.343711,50
"765","seq00964",-0.273047,50.7
"775","seq00979",-0.242983,45
"782","seq00989",-0.294167,51.1
"789","seq00996",-0.228695,59.1
"797","seq01006",-0.178656,59.7
"801","seq01016",-0.332799,40.5
"802","seq01019",-0.276512,58.1
"811","seq01031",-0.459497,46.2
"813","seq01034",-0.268716,38
"819","seq01041",-0.369725,61.2
"823","seq01045",-0.356603,42.6
"824","seq01047",-0.456215,38.9
"825","seq01048",-0.348548,43.3
"828","seq01054",-0.283811,48.1
"842","seq01071",-0.263692,58.8
"843","seq01072",-0.385656,35.5
"846","seq01075",-0.355686,40.9
"850","seq01080",-0.260775,66.1
"853","seq01084",-0.317912,70.3
"854","seq01085",-0.399806,55.1
"857","seq01088",-0.362807,35.6
"858","seq01090",-0.316471,41.8
"859","seq01091",-0.222432,50
"863","seq01096",-0.33431,43.5
"866","seq01099",-0.298105,45.8
"872","seq01105",-0.309716,52.1
"875","seq01111",-0.33381,53.4
"876","seq01112",-0.336512,37.5
"880","seq01116",-0.248288,57.9
"885","seq01121",-0.377002,40.6
"889","seq01125",-0.232231,45.1
"895","seq01131",-0.410169,28.8
"897","seq01133",-0.27098,55.7
"898","seq01136",-0.248261,53.1
"903","seq01141",-0.255209,60.3
"912","seq01156",-0.34338,42.9
"913","seq01158",-0.24824,69.2
"914","seq01159",-0.368564,28.3
"921","seq01168",-0.40286,45.3
"923","seq01170",-0.379965,42
"933","seq01183",-0.33686,35.7
"937","seq01189",-0.349831,45.5
"939","seq01193",-0.189113,66.7
"942","seq01196",-0.341715,43.6
"947","seq01205",-0.37945,41.7
"949","seq01207",-0.274133,49.3
"952","seq01210",-0.152644,71.6
"957","seq01216",-0.19734,48.7
"958","seq01217",-0.227254,59.4
"960","seq01220",-0.352846,36.5
"967","seq01229",-0.264873,48.5
"969","seq01233",-0.212808,48.7
"973","seq01238",-0.214187,63.3
"979","seq01248",-0.312214,56.8
"988","seq01258",-0.21861,53.4
"991","seq01263",-0.293683,55
"993","seq01265",-0.242795,53.7
"996","seq01269",-0.203022,56.9
"999","seq01274",-0.264432,32
"1004","seq01281",-0.319814,54.5
"1005","seq01282",-0.313921,50.8
"1008","seq01286",-0.414533,45
"1012","seq01292",-0.303293,40
"1015","seq01296",-0.222946,41.7
"1019","seq01300",-0.23064,66.7
"1029","seq01316",-0.333904,56.7
"1038","seq01328",-0.287374,47.1
"1042","seq01333",-0.432141,33.3
"1043","seq01334",-0.320194,50
"1045","seq01337",-0.38968,51.2
"1048","seq01343",-0.450879,32.9
"1055","seq01353",-0.472684,52.4
"1057","seq01355",-0.353854,42.9
"1058","seq01356",-0.31927,48.5
"1060","seq01359",-0.509071,58
"1061","seq01360",-0.37671,36.4
"1063","seq01362",-0.239147,47.1
"1079","seq01383",-0.398143,39.1
"1087","seq01393",-0.465398,63.4
"1092","seq01400",-0.136519,68.6
"1098","seq01407",-0.390053,40.9
"1107","seq01418",-0.207739,66
"1113","seq01427",-0.360295,50.8
"1114","seq01428",-0.317397,54.2
"1116","seq01430",-0.401251,37.7
"1117","seq01431",-0.242642,46.2
"1118","seq01432",-0.260329,42.5
"1122","seq01436",-0.29951,58
"1130","seq01448",-0.257529,47.4
"1133","seq01451",-0.341712,43.5
"1134","seq01452",-0.325948,40.9
"1136","seq01454",-0.084297,98.7
"1139","seq01458",-0.368982,33.3
"1142","seq01462",-0.303429,45.3
"1146","seq01467",-0.331913,46.2
"1150","seq01472",-0.469457,32.4
"1152","seq01474",-0.353992,43.5
"1154","seq01477",-0.194178,46.8
"1161","seq01487",-0.370134,58.1
"1164","seq01491",-0.385931,50
"1171","seq01500",-0.267546,45.6
"1177","seq01510",-0.389801,40.3
"1181","seq01515",-0.339665,38
"1190","seq01526",-0.288163,58.8
"1194","seq01532",-0.316233,43.1
"1203","seq01548",-0.349756,38.7
"1205","seq01552",-0.276109,49.1
"1206","seq01553",-0.288628,48.1
"1210","seq01557",-0.288952,38.9
"1211","seq01558",-0.304767,44.7
"1215","seq01562",-0.316442,54.7
"1216","seq01563",-0.383956,63.6
"1234","seq01588",-0.287147,48.6
"1241","seq01598",-0.408886,47.3
"1259","seq01621",-0.310349,42.2
"1263","seq01625",-0.405683,50.7
"1264","seq01626",-0.219374,59.1
"1287","seq01654",-0.327926,53.5
"1291","seq01658",-0.348403,44.8
"1293","seq01664",-0.262443,32.4
"1296","seq01668",-0.494097,44.8
"1298","seq01670",-0.297617,57
"1299","seq01672",-0.270922,53.8
"1306","seq01683",-0.249785,45
"1318","seq01697",-0.314082,54.9
"1319","seq01699",-0.275928,49.4
"1320","seq01700",-0.349879,52.9
"1323","seq01704",-0.253338,48.1
"1334","seq01718",-0.265752,42.9
"1335","seq01719",-0.291512,44.3
"1336","seq01721",-0.173916,96.4
"1342","seq01729",-0.426558,36.7
"1347","seq01736",-0.464101,50
"1349","seq01739",-0.403696,39.3
"1354","seq01745",-0.297142,52.3
"1355","seq01748",-0.330897,41.8
"1359","seq01753",-0.377871,61.1
"1360","seq01755",-0.295715,53.5
"1361","seq01756",-0.397479,53.1
"1363","seq01759",-0.255363,63.6
"1367","seq01763",-0.459956,67.4
"1379","seq01776",-0.427562,45.2
"1382","seq01783",-0.322118,48.1
"1386","seq01788",-0.333107,37.1
"1390","seq01795",-0.410036,52.9
"1395","seq01801",-0.241674,40.6
"1399","seq01807",-0.307461,50
"1406","seq01814",-0.263543,31.3
"1410","seq01818",-0.300512,62.2
"1416","seq01826",-0.498541,54
"1418","seq01828",-0.237596,55.6
"1422","seq01834",-0.295429,61
"1424","seq01838",-0.39602,40
"1425","seq01840",-0.316379,51.2
"1431","seq01847",-0.294072,60.5
"1437","seq01855",-0.215024,51.9
"1453","seq01875",-0.194429,51.3
"1457","seq01881",-0.310627,61.1
"1458","seq01883",-0.3281,37.3
"1459","seq01884",-0.303519,56.7
"1461","seq01886",-0.259078,43.2
"1462","seq01887",-0.311868,56.9
"1465","seq01891",-0.333193,56.7
"1473","seq01899",-0.29635,40
"1476","seq01904",-0.438125,59
"1479","seq01908",-0.309095,42.3
"1483","seq01912",-0.296086,56.2
"1504","seq01937",-0.264515,39.5
"1509","seq01943",-0.287635,52.2
"1515","seq01953",-0.42356,38.7
"1520","seq01959",-0.461251,52.6
"1528","seq01970",-0.310398,50
"1535","seq01978",-0.343883,40.9
"1559","seq02007",-0.25547,54.2
"1562","seq02011",-0.238205,50.8
"1564","seq02014",-0.344063,33.9
"1568","seq02019",-0.347698,39.7
"1570","seq02021",-0.312047,45.5
"1577","seq02028",-0.347376,43.1
"1579","seq02031",-0.382734,40.3
"1580","seq02032",-0.386832,37.1
"1581","seq02035",-0.219185,53.8
"1589","seq02045",-0.294888,44.8
"1596","seq02053",-0.229534,47
"1606","seq02066",-0.457507,40.4
"1608","seq02068",-0.27926,52.2
"1610","seq02070",-0.352321,31.1
"1614","seq02076",-0.248309,66.7
"1615","seq02077",-0.226951,62.7
"1626","seq02097",-0.293247,47.3
"1629","seq02100",-0.413447,41.8
"1636","seq02107",-0.346822,55.1
"1645","seq02118",-0.263291,48.5
"1646","seq02119",-0.41766,50
"1647","seq02121",-0.44624,40.4
"1652","seq02127",-0.473037,52.5
"1653","seq02128",-0.369056,37.3
"1656","seq02131",-0.311512,58
"1658","seq02133",-0.334314,43.1
"1660","seq02135",-0.333125,41.4
"1662","seq02140",-0.263518,50
"1666","seq02144",-0.258893,48.3
"1667","seq02146",-0.296167,44
"1668","seq02147",-0.323697,39.2
"1670","seq02149",-0.266698,52.5
"1673","seq02154",-0.401613,80.6
"1677","seq02159",-0.270544,47.8
"1682","seq02165",-0.256461,57.3
"1695","seq02182",-0.417308,45.6
"1697","seq02184",-0.165305,64.6
"1699","seq02187",-0.343479,51.6
"1704","seq02193",-0.330939,41.5
"1705","seq02194",-0.262491,53.5
"1709","seq02198",-0.266885,61.9
"1717","seq02206",-0.265794,53.8
"1720","seq02209",-0.397491,50.7
"1725","seq02218",-0.441185,60.8
"1727","seq02222",-0.393987,49.2
"1730","seq02226",-0.317879,45.7
"1732","seq02228",-0.38947,37.7
"1733","seq02230",-0.392457,43.9
"1738","seq02239",-0.388744,53.2
"1739","seq02240",-0.210782,58.3
"1742","seq02244",-0.26528,46.8
"1746","seq02250",-0.485282,51.9
"1750","seq02254",-0.337222,55.6
"1753","seq02258",-0.252045,50.6
"1755","seq02260",-0.317513,41.5
"1764","seq02269",-0.349732,42.4
"1770","seq02278",-0.378281,55.9
"1772","seq02281",-0.30728,46.1
"1774","seq02284",-0.340887,40
"1777","seq02287",-0.299624,56.9
"1779","seq02289",-0.262996,52
"1782","seq02293",-0.317288,41.3
"1784","seq02296",-0.368078,43
"1786","seq02298",-0.306737,32.9
"1789","seq02301",-0.303018,55.1
"1795","seq02307",-0.417348,28.1
"1808","seq02323",-0.322846,52.9
"1811","seq02328",-0.317474,53.6
"1813","seq02333",-0.328826,44.3
"1816","seq02336",-0.249845,48.9
"1817","seq02337",-0.397355,36.4
"1818","seq02338",-0.25114,61.2
"1821","seq02341",-0.266832,52.5
"1828","seq02352",-0.177833,61.7
"1831","seq02356",-0.319077,41.9
"1835","seq02362",-0.258749,72
"1837","seq02366",-0.306934,50.9
"1838","seq02367",-0.437813,47.8
"1840","seq02369",-0.269194,54.3
"1843","seq02372",-0.185333,54.3
"1847","seq02377",-0.295647,47.9
"1852","seq02382",-0.392159,44.1
"1859","seq02389",-0.301489,43.6
"1867","seq02403",-0.332481,31
"1869","seq02406",-0.2577,61.1
"1870","seq02407",-0.353315,54.3
"1880","seq02424",-0.318699,41.2
"1888","seq02437",-0.401141,40
"1889","seq02438",-0.40896,48.5
"1893","seq02443",-0.273357,47.3
"1896","seq02446",-0.280505,47.2
"1898","seq02449",-0.258891,50
"1908","seq02459",-0.514635,47
"1910","seq02462",-0.24412,59
"1913","seq02468",-0.307904,40.6
"1919","seq02476",-0.208362,47.1
"1922","seq02483",-0.315036,51.2
"1923","seq02484",-0.272138,48.6
"1929","seq02491",-0.375958,46
"1932","seq02498",-0.394859,35.7
"1934","seq02501",-0.237556,44.9
"1937","seq02506",-0.262954,57.7
"1942","seq02512",-0.221661,54.2
"1950","seq02527",-0.300814,61.5
"1952","seq02529",-0.454045,41.4
"1969","seq02551",-0.277884,46.6
"1970","seq02552",-0.44467,40.6
"1971","seq02553",-0.430093,39.3
"1973","seq02557",-0.466831,40
"1975","seq02559",-0.419409,41.2
"1978","seq02562",-0.218558,51.9
"1981","seq02565",-0.269404,53.4
"1983","seq02567",-0.392665,50.8
"1987","seq02572",-0.337002,41.8
"1995","seq02582",-0.303608,51.7
"2002","seq02589",-0.238893,52
"2006","seq02595",-0.249595,52.2
"2010","seq02599",-0.402933,52.6
"2013","seq02602",-0.299019,38.5
"2015","seq02605",-0.384646,51.5
"2021","seq02615",-0.226089,60
"2028","seq02623",-0.283884,48.3
"2029","seq02624",-0.429264,39.6
"2032","seq02629",-0.294844,51.5
"2034","seq02631",-0.293164,47.9
"2035","seq02632",-0.198255,56.2
"2036","seq02633",-0.208536,61
"2039","seq02638",-0.235035,53.8
"2042","seq02641",-0.322838,50
"2053","seq02654",-0.234201,49.2
"2056","seq02657",-0.276928,48.9
"2058","seq02659",-0.363771,44
"2060","seq02663",-0.354436,50.8
"2061","seq02664",-0.388424,57.4
"2063","seq02666",-0.401851,48.6
"2065","seq02669",-0.151552,76.6
"2067","seq02671",-0.253795,51.9
"2068","seq02672",-0.319973,42.5
"2083","seq02689",-0.21417,58.6
"2104","seq02714",-0.268333,52.1
"2105","seq02717",-0.397604,36.6
"2113","seq02727",-0.422183,44.4
"2120","seq02735",-0.466207,41
"2122","seq02737",-0.528366,79.5
"2123","seq02738",-0.352619,42.2
"2128","seq02748",-0.312546,55.2
"2131","seq02754",-0.30396,45.5
"2137","seq02762",-0.457716,53.3
"2143","seq02770",-0.33399,54
"2148","seq02779",-0.288957,53.1
"2155","seq02788",-0.388971,58.1
"2161","seq02794",-0.262043,57.7
"2163","seq02797",-0.285284,68
"2176","seq02813",-0.398903,47.5
"2179","seq02817",-0.25209,61.6
"2189","seq02830",-0.456876,45.7
"2199","seq02846",-0.300933,46.7
"2204","seq02854",-0.35442,46.6
"2209","seq02861",-0.433196,70
"2214","seq02866",-0.342343,42.9
"2215","seq02867",-0.350485,47.8
"2223","seq02883",-0.379653,49.1
"2224","seq02884",-0.418154,44.8
"2227","seq02887",-0.226265,52.2
"2230","seq02891",-0.280075,43.1
"2231","seq02892",-0.233095,50
"2238","seq02902",-0.365152,37
"2243","seq02909",-0.238799,55.3
"2246","seq02913",-0.272032,43.3
"2248","seq02916",-0.294118,39.2
"2260","seq02934",-0.382049,40.5
"2267","seq02944",-0.317856,43.5
"2278","seq02962",-0.323244,51.5
"2280","seq02965",-0.227703,63.2
"2282","seq02967",-0.208723,76.6
"2284","seq02969",-0.301294,66
"2285","seq02970",-0.332031,33.8
"2286","seq02971",-0.397111,38.3
"2290","seq02975",-0.253947,58.2
"2292","seq02978",-0.345581,50.7
"2293","seq02979",-0.387649,48.9
"2294","seq02981",-0.396096,38.6
"2295","seq02983",-0.386979,45.5
"2299","seq02992",-0.291951,68.3
"2303","seq02997",-0.309251,37.2
"2304","seq02998",-0.289674,59.6
"2311","seq03008",-0.503646,43.2
"2312","seq03009",-0.343344,46.5
"2314","seq03014",-0.29025,55.3
"2315","seq03015",-0.41017,40.7
"2318","seq03018",-0.322275,47.8
"2320","seq03020",-0.226522,62.7
"2332","seq03032",-0.209316,97.3
"2334","seq03034",-0.317036,59.5
"2338","seq03039",-0.32203,37
"2339","seq03040",-0.374599,44.6
"2340","seq03042",-0.423997,34.5
"2341","seq03043",-0.398547,44.4
"2347","seq03051",-0.329034,71.4
"2350","seq03057",-0.28127,48.6
"2355","seq03064",-0.380465,66.1
"2359","seq03073",-0.407833,52.2
"2360","seq03075",-0.326237,41.7
"2361","seq03076",-0.314248,56.1
"2363","seq03079",-0.312353,43.9
"2365","seq03081",-0.260499,43.3
"2367","seq03083",-0.226084,44.8
"2368","seq03084",-0.182254,62.3
"2373","seq03089",-0.372802,38.7
"2377","seq03094",-0.429796,47.2
"2381","seq03098",-0.365929,52.3
"2387","seq03104",-0.24436,42.6
"2395","seq03117",-0.383662,37.5
"2396","seq03118",-0.42198,41.3
"2400","seq03124",-0.334734,48.3
"2410","seq03139",-0.321642,45.5
"2414","seq03147",-0.279402,56.6
"2426","seq03162",-0.318963,44.3
"2428","seq03164",-0.312786,58.2
"2431","seq03167",-0.24913,86.3
"2432","seq03169",-0.287574,60.7
"2435","seq03176",-0.228007,58.3
"2436","seq03177",-0.452173,35.6
"2437","seq03178",-0.471727,100
"2439","seq03181",-0.295336,43.3
"2447","seq03192",-0.367926,65
"2448","seq03193",-0.319536,67.9
"2465","seq03216",-0.390933,69.2
"2466","seq03217",-0.33583,45.7
"2471","seq03224",-0.255946,57.9
"2475","seq03229",-0.385392,44.6
"2478","seq03232",-0.407298,41.7
"2492","seq03249",-0.383717,51.5
"2494","seq03251",-0.329264,52.2
"2497","seq03254",-0.406836,43.8
"2506","seq03267",-0.392274,33.8
"2517","seq03281",-0.245836,64.6
"2518","seq03282",-0.296611,50
"2531","seq03298",-0.408857,33.8
"2534","seq03302",-0.456072,53.8
"2539","seq03307",-0.411399,44.4
"2540","seq03309",-0.283906,48.7
"2547","seq03316",-0.419704,57.1
"2555","seq03325",-0.435091,44.3
"2558","seq03330",-0.499676,47.7
"2566","seq03339",-0.272422,54.3
"2576","seq03352",-0.435405,37.9
"2596","seq03377",-0.226815,54.3
"2598","seq03379",-0.264768,48.8
"2604","seq03385",-0.387983,44.6
"2608","seq03391",-0.345201,42.6
"2610","seq03393",-0.306365,45.6
"2612","seq03395",-0.345219,41.8
"2616","seq03400",-0.372746,39.1
"2618","seq03404",-0.275146,63.5
"2619","seq03405",-0.31411,58.3
"2620","seq03406",-0.323468,40
"2621","seq03408",-0.329259,61.5
"2625","seq03412",-0.268682,78
"2630","seq03417",-0.17887,53.7
"2637","seq03426",-0.295838,40
"2639","seq03428",-0.16005,65.7
"2642","seq03431",-0.361182,39.1
"2650","seq03442",-0.405167,64.5
"2657","seq03449",-0.41578,48.5
"2658","seq03450",-0.346467,46.2
"2662","seq03454",-0.345733,37.3
"2665","seq03458",-0.263638,62.7
"2668","seq03463",-0.332976,36.2
"2670","seq03465",-0.380173,50
"2672","seq03468",-0.267284,43.8
"2675","seq03471",-0.284079,41.4
"2676","seq03472",-0.296037,42.5
"2690","seq03489",-0.372381,53.5
"2692","seq03492",-0.429773,44.4
"2695","seq03495",-0.422812,56.2
"2696","seq03496",-0.502711,48.7
"2708","seq03511",-0.334165,62.7
"2714","seq03520",-0.424446,36.4
"2715","seq03521",-0.355859,37.5
"2724","seq03531",-0.266882,62.5
"2732","seq03542",-0.447162,41.2
"2734","seq03544",-0.184936,60.5
"2736","seq03546",-0.300897,47
"2737","seq03547",-0.370116,52.1
"2743","seq03555",-0.321497,42.6
"2749","seq03562",-0.423297,36
"2755","seq03568",-0.384332,46.4
"2760","seq03578",-0.405192,40.4
"2767","seq03586",-0.395241,52
"2778","seq03599",-0.280968,71.8
"2779","seq03600",-0.358814,48.6
"2781","seq03602",-0.340995,48.8
"2788","seq03609",-0.409105,55.8
"2799","seq03623",-0.500644,36.4
"2801","seq03625",-0.295302,53.7
"2818","seq03660",-0.259105,42.9
"2819","seq03661",-0.374982,61
"2821","seq03663",-0.444164,39.7
"2827","seq03670",-0.269597,48.8
"2848","seq03704",-0.389321,32.8
"2849","seq03706",-0.427753,51.1
"2851","seq03710",-0.169352,83.8
"2852","seq03711",-0.296647,56.9
"2860","seq03719",-0.280988,63.8
"2861","seq03720",-0.342091,41.2
"2866","seq03726",-0.25337,45.7
"2874","seq03737",-0.431824,52.8
"2878","seq03744",-0.246449,50
"2886","seq03752",-0.382418,48.4
"2887","seq03753",-0.335386,39.2
"2891","seq03759",-0.468368,58.1
"2893","seq03762",-0.418994,36.8
"2897","seq03766",-0.241192,65.5
"2898","seq03767",-0.318332,43.9
"2902","seq03774",-0.374257,52.2
"2904","seq03776",-0.305326,44.6
"2909","seq03784",-0.323026,44.2
"2910","seq03785",-0.297712,52.2
"2916","seq03792",-0.325782,62.7
"2917","seq03793",-0.295769,55.2
"2926","seq03804",-0.408091,37.8
"2927","seq03805",-0.461573,35.9
"2934","seq03814",-0.411466,35.3
"2937","seq03818",-0.374374,38.2
"2944","seq03825",-0.317371,50
"2954","seq03838",-0.258454,48.3
"2961","seq03847",-0.278843,45.5
"2962","seq03849",-0.20332,47.4
"2966","seq03853",-0.431803,60.5
"2972","seq03861",-0.322439,42.1
"2973","seq03865",-0.309444,46.2
"2983","seq03884",-0.506402,50
"2987","seq03891",-0.438028,45.3
"2992","seq03897",-0.308089,45.7
"2996","seq03905",-0.363145,51
"2999","seq03913",-0.463747,34.4
"3000","seq03914",-0.328356,50.8
"3007","seq03925",-0.376757,40.9
"3008","seq03926",-0.36705,42.1
"3009","seq03928",-0.199672,53.3
"3010","seq03929",-0.356158,35.1
"3011","seq03930",-0.317844,47.5
"3013","seq03932",-0.36538,44
"3016","seq03935",-0.258654,44
"3017","seq03937",-0.384131,54.1
"3019","seq03939",-0.236643,60.2
"3020","seq03940",-0.353961,46.1
"3029","seq03953",-0.33166,54.9
"3034","seq03959",-0.43611,39.2
"3037","seq03962",-0.356847,35.2
"3041","seq03966",-0.265862,45.5
"3053","seq03981",-0.272006,45.5
"3054","seq03982",-0.272706,50.8
"3057","seq03987",-0.312438,45.2
"3058","seq03988",-0.334167,53.1
"3059","seq03990",-0.195606,42.6
"3061","seq03992",-0.395664,38.5
"3066","seq04002",-0.309874,60
"3079","seq04018",-0.328061,53.8
"3084","seq04026",-0.319971,55.9
"3089","seq04032",-0.255087,79.3
"3094","seq04037",-0.251176,49
"3100","seq04046",-0.418988,33.8
"3104","seq04052",-0.455196,67.2
"3105","seq04053",-0.385481,36.2
"3109","seq04059",-0.233322,50
"3110","seq04060",-0.313998,52.5
"3115","seq04067",-0.32754,46.2
"3121","seq04076",-0.214917,57
"3122","seq04077",-0.334179,41.5
"3123","seq04078",-0.249377,53.6
"3127","seq04084",-0.204042,51.9
"3133","seq04090",-0.313132,65.4
"3135","seq04093",-0.361314,45.6
"3139","seq04098",-0.31026,47.6
"3144","seq04103",-0.478683,44.6
"3145","seq04104",-0.455594,46.8
"3150","seq04109",-0.255628,52.6
"3156","seq04115",-0.364198,55.9
"3160","seq04119",-0.275935,38.6
"3165","seq04126",-0.317844,42
"3166","seq04127",-0.301089,40.4
"3171","seq04132",-0.326109,35.7
"3176","seq04138",-0.289224,32.9
"3186","seq04152",-0.419822,40
"3188","seq04154",-0.312318,43.3
"3191","seq04158",-0.27751,48.8
"3194","seq04162",-0.347142,50
"3195","seq04163",-0.318856,54
"3198","seq04166",-0.23834,52.8
"3205","seq04176",-0.363853,37.3
"3206","seq04177",-0.292414,50.8
"3207","seq04178",-0.218448,76.1
"3208","seq04179",-0.31127,52.9
"3209","seq04180",-0.408904,45
"3218","seq04189",-0.327469,48.3
"3220","seq04191",-0.397253,47.6
"3221","seq04192",-0.31235,45.3
"3222","seq04193",-0.212814,55.4
"3224","seq04195",-0.414407,36.1
"3225","seq04196",-0.314567,44.6
