"","seqid","score","%id"
"170","seq_170",-0.194149,0
"171","seq_171",-0.220051,0
"172","seq_172",-0.239306,0
"173","seq_173",-0.151284,0
"174","seq_174",-0.251944,73.7
"175","seq_175",-0.205434,0
"176","seq_176",-0.218337,0
"177","seq_177",-0.193848,0
"178","seq_178",-0.206633,0
"179","seq_179",-0.34549,0
"180","seq_180",-0.268281,0
"181","seq_181",-0.234764,66.7
"182","seq_182",-0.140027,0
"183","seq_183",-0.241345,64.9
"184","seq_184",-0.093982,62.1
"185","seq_185",-0.38924,67.4
"186","seq_186",-0.120194,0
"187","seq_187",-0.333675,48.1
"188","seq_188",-0.328062,0
"189","seq_189",-0.152445,0
"190","seq_190",-0.342956,0
"191","seq_191",-0.18118,0
"192","seq_192",-0.213342,0
"193","seq_193",-0.301814,37.4
"194","seq_194",-0.230471,0
"195","seq_195",-0.28685,0
"196","seq_196",-0.223776,0
"197","seq_197",-0.149557,61.7
"198","seq_198",-0.035777,98.9
"199","seq_199",-0.105011,0
"200","seq_200",-0.123474,0
"201","seq_201",-0.291756,43.8
"202","seq_202",-0.210859,0
"203","seq_203",-0.136729,86.4
"204","seq_204",-0.24205,0
"205","seq_205",-0.208003,48.4
"206","seq_206",-0.387249,0
"207","seq_207",-0.267728,48.5
"208","seq_208",-0.126843,0
"209","seq_209",-0.091867,0
"210","seq_210",-0.278484,0
"211","seq_211",-0.18478,0
"212","seq_212",-0.28478,0
"213","seq_213",-0.200429,0
"214","seq_214",-0.287767,63.2
"215","seq_215",-0.183881,94.3
"216","seq_216",-0.18196,0
"217","seq_217",-0.143453,0
"218","seq_218",-0.411855,0
"219","seq_219",-0.139537,0
"220","seq_220",-0.173799,67.5
"221","seq_221",-0.240589,0
"222","seq_222",-0.160848,0
"223","seq_223",-0.191251,49.2
"224","seq_224",-0.172167,0
"225","seq_225",-0.216008,0
"226","seq_226",-0.203304,94.4
"227","seq_227",-0.465278,0
"228","seq_228",-0.34982,0
"229","seq_229",-0.201167,0
"230","seq_230",-0.241613,0
"231","seq_231",-0.350271,0
"232","seq_232",-0.322468,56.4
"233","seq_233",-0.088833,0
"234","seq_234",-0.243652,0
"235","seq_235",-0.280509,40
"236","seq_236",-0.150685,87.3
"237","seq_237",-0.052357,0
"238","seq_238",-0.273219,0
"239","seq_239",-0.175592,92.9
"240","seq_240",-0.170703,0
"241","seq_241",-0.312425,0
"242","seq_242",-0.130588,100
"243","seq_243",-0.450044,0
"244","seq_244",-0.451221,96
"245","seq_245",-0.231961,0
"246","seq_246",-0.257657,91.8
"247","seq_247",-0.141137,52.7
"248","seq_248",-0.345414,80
"249","seq_249",-0.242024,0
"250","seq_250",-0.132215,72.9
"251","seq_251",-0.44407,86
"252","seq_252",-0.304144,0
"253","seq_253",-0.171309,0
"254","seq_254",-0.285309,100
"255","seq_255",-0.375075,0
"256","seq_256",-0.160077,0
"257","seq_257",-0.306531,0
"258","seq_258",-0.383418,39.8
"259","seq_259",-0.321323,0
"260","seq_260",-0.22226,52.5
"261","seq_261",-0.149531,0
"262","seq_262",-0.185072,98.1
"263","seq_263",-0.155062,0
"264","seq_264",-0.288078,0
"265","seq_265",-0.159464,0
"266","seq_266",-0.136989,0
"267","seq_267",-0.182828,68.1
"268","seq_268",-0.363083,0
"269","seq_269",-0.090138,0
"270","seq_270",-0.09456,0
"271","seq_271",-0.334071,0
"272","seq_272",-0.277649,0
"273","seq_273",-0.185035,0
"274","seq_274",-0.220812,0
"275","seq_275",-0.205081,56.8
"276","seq_276",-0.149142,0
"277","seq_277",-0.256258,49.2
"278","seq_278",-0.13854,64.8
"279","seq_279",-0.224128,57.6
"280","seq_280",-0.178654,0
"281","seq_281",-0.309579,0
"282","seq_282",-0.326072,0
"283","seq_283",-0.261354,0
"284","seq_284",-0.445499,0
"285","seq_285",-0.24948,98.5
"286","seq_286",-0.150052,86.2
"287","seq_287",-0.248261,0
"288","seq_288",-0.292345,0
"289","seq_289",-0.317575,0
"290","seq_290",-0.197577,71.3
"291","seq_291",-0.420579,0
"292","seq_292",-0.312765,100
"293","seq_293",-0.146176,0
"294","seq_294",-0.317441,0
"295","seq_295",-0.221301,0
"296","seq_296",-0.235917,69.4
"297","seq_297",-0.289374,0
"298","seq_298",-0.126317,0
"299","seq_299",-0.30491,0
"300","seq_300",-0.260745,0
"301","seq_301",-0.132274,63.8
"302","seq_302",-0.312132,0
"303","seq_303",-0.376913,100
"304","seq_304",-0.090101,67.1
"305","seq_305",-0.163883,66.3
"306","seq_306",-0.31055,0
"307","seq_307",-0.250051,0
"308","seq_308",-0.238841,0
"309","seq_309",-0.210943,0
"310","seq_310",-0.24597,0
"311","seq_311",-0.133077,77.4
"312","seq_312",-0.102775,0
"313","seq_313",-0.198471,53.7
"314","seq_314",-0.262083,0
"315","seq_315",-0.383439,0
"316","seq_316",-0.312627,0
"317","seq_317",-0.200832,0
"318","seq_318",-0.344351,45.7
"319","seq_319",-0.305089,0
"320","seq_320",-0.233965,75.8
"321","seq_321",-0.290373,31.4
"322","seq_322",-0.345042,0
"323","seq_323",-0.234985,0
"324","seq_324",-0.153682,0
"325","seq_325",-0.112377,0
"326","seq_326",-0.155516,0
"327","seq_327",-0.160449,62.2
"328","seq_328",-0.115273,0
"329","seq_329",-0.397164,0
"330","seq_330",-0.256558,0
"331","seq_331",-0.275697,45.1
"332","seq_332",-0.21002,0
"333","seq_333",-0.276096,0
"334","seq_334",-0.374375,56.1
"335","seq_335",-0.31958,0
"336","seq_336",-0.269052,0
"337","seq_337",-0.343711,0
"338","seq_338",-0.166994,0
"339","seq_339",-0.180545,0
"340","seq_340",-0.361415,85.7
"341","seq_341",-0.240767,0
"342","seq_342",-0.474136,97
"343","seq_343",-0.350513,0
"344","seq_344",-0.285007,51
"345","seq_345",-0.151734,70.5
"346","seq_346",-0.182426,0
"347","seq_347",-0.092096,65.6
"348","seq_348",-0.266485,0
"349","seq_349",-0.390092,47.2
"350","seq_350",-0.29297,0
"351","seq_351",-0.477268,96
"352","seq_352",-0.102983,84
"353","seq_353",-0.270516,0
"354","seq_354",-0.330072,0
"355","seq_355",-0.031255,76.8
"356","seq_356",-0.385216,100
"357","seq_357",-0.405597,0
"358","seq_358",-0.134984,0
"359","seq_359",-0.257458,0
"360","seq_360",-0.394116,0
"361","seq_361",-0.070279,0
"362","seq_362",-0.431064,97
"363","seq_363",-0.17495,0
"364","seq_364",-0.297833,66.7
"365","seq_365",-0.330692,39.2
"366","seq_366",-0.366447,0
"367","seq_367",-0.19399,69.4
"368","seq_368",-0.313417,34.1
"369","seq_369",-0.372032,0
"370","seq_370",-0.180133,0
"371","seq_371",-0.333776,35.4
"372","seq_372",-0.235317,56.5
"373","seq_373",-0.279636,0
"374","seq_374",-0.429278,75
"375","seq_375",-0.112286,0
"376","seq_376",-0.256377,0
"377","seq_377",-0.27702,56.5
"378","seq_378",-0.202887,52.7
"379","seq_379",-0.24843,0
"380","seq_380",-0.374005,92.9
"381","seq_381",-0.069198,0
"382","seq_382",-0.203545,60.2
"383","seq_383",-0.27427,0
"384","seq_384",-0.164411,0
"385","seq_385",-0.174502,0
"386","seq_386",-0.335938,50
"387","seq_387",-0.377597,64.4
"388","seq_388",-0.141358,0
"389","seq_389",-0.298699,0
"390","seq_390",-0.05008,0
"391","seq_391",-0.111784,0
"392","seq_392",-0.197194,63.6
"393","seq_393",-0.474531,89.6
"394","seq_394",-0.31462,0
"395","seq_395",-0.133984,0
"396","seq_396",-0.272942,0
"397","seq_397",-0.126285,80.2
"398","seq_398",-0.123002,59
"399","seq_399",-0.354086,57.4
"400","seq_400",-0.397737,38
"401","seq_401",-0.161819,73.6
"402","seq_402",-0.110291,0
"403","seq_403",-0.308437,0
"404","seq_404",-0.228506,58.9
"405","seq_405",-0.326495,47.5
"406","seq_406",-0.265235,0
"407","seq_407",-0.266935,0
"408","seq_408",-0.07339,0
"409","seq_409",-0.230704,0
"410","seq_410",-0.121667,0
"411","seq_411",-0.175788,0
"412","seq_412",-0.168226,66.1
"413","seq_413",-0.172703,0
"414","seq_414",-0.140362,62.6
"415","seq_415",-0.362754,100
"416","seq_416",-0.316417,0
"417","seq_417",-0.403132,76.5
"418","seq_418",-0.289203,0
"419","seq_419",-0.220031,41.7
"420","seq_420",-0.323485,38.9
"421","seq_421",-0.196043,0
"422","seq_422",-0.266829,0
"423","seq_423",-0.040641,0
"424","seq_424",-0.205917,62.5
"425","seq_425",-0.121423,0
"426","seq_426",-0.090159,96.1
"427","seq_427",-0.23167,70.8
"428","seq_428",-0.222387,42
"429","seq_429",-0.134363,72.6
"430","seq_430",-0.077147,0
"431","seq_431",-0.2704,0
"432","seq_432",-0.128872,0
"433","seq_433",-0.194917,70.2
"434","seq_434",-0.229933,38.2
"435","seq_435",-0.150469,54.6
"436","seq_436",-0.221356,66.7
"437","seq_437",-0.181897,71.6
"438","seq_438",-0.386095,84.8
"439","seq_439",-0.229505,60
"440","seq_440",-0.198138,57.8
"441","seq_441",-0.457892,94.9
"442","seq_442",-0.472829,36.1
"443","seq_443",-0.366471,32.1
"444","seq_444",-0.482586,61.3
"445","seq_445",-0.317837,0
"446","seq_446",-0.340768,36.7
"447","seq_447",-0.336405,55.1
"448","seq_448",-0.402211,70.9
"449","seq_449",-0.29129,0
"450","seq_450",-0.248842,0
"451","seq_451",-0.051849,0
"452","seq_452",-0.254137,0
"453","seq_453",-0.211872,0
"454","seq_454",-0.178032,0
"455","seq_455",-0.082894,66.7
"456","seq_456",-0.267005,93.9
"457","seq_457",-0.40584,0
"458","seq_458",-0.368101,0
"459","seq_459",-0.20436,0
"460","seq_460",-0.244563,62.7
"461","seq_461",-0.176914,0
"462","seq_462",-0.180352,0
"463","seq_463",-0.241217,0
"464","seq_464",-0.293652,85.3
"465","seq_465",-0.115965,0
"466","seq_466",-0.266752,0
"467","seq_467",-0.206324,68.1
"468","seq_468",-0.27792,0
"469","seq_469",-0.264005,0
"470","seq_470",-0.177398,83.8
"471","seq_471",-0.257647,37.3
"472","seq_472",-0.09553,0
"473","seq_473",-0.240066,0
"474","seq_474",-0.189401,0
"475","seq_475",-0.145639,0
"476","seq_476",-0.108066,71.4
"477","seq_477",-0.345303,0
"478","seq_478",-0.201108,65.3
"479","seq_479",-0.159561,76.3
"480","seq_480",-0.128514,0
"481","seq_481",-0.087218,0
"482","seq_482",-0.281203,0
"483","seq_483",-0.272712,65.7
"484","seq_484",-0.167786,0
"485","seq_485",-0.218239,0
"486","seq_486",-0.114717,0
"487","seq_487",-0.117412,79.2
"488","seq_488",-0.209036,0
"489","seq_489",-0.358749,0
"490","seq_490",-0.200872,0
"491","seq_491",-0.141736,97.3
"492","seq_492",-0.12259,0
"493","seq_493",-0.164797,69.6
"494","seq_494",-0.125549,87.8
"495","seq_495",-0.212306,0
"496","seq_496",-0.321704,0
"497","seq_497",-0.323292,0
"498","seq_498",-0.440517,97
"499","seq_499",-0.279625,0
"500","seq_500",-0.246987,87
"501","seq_501",-0.271271,43.5
"502","seq_502",-0.095437,0
"503","seq_503",-0.211942,0
"504","seq_504",-0.349618,0
"505","seq_505",-0.134805,74.7
"506","seq_506",-0.342772,0
"507","seq_507",-0.290709,0
"508","seq_508",-0.1263,61.1
"509","seq_509",-0.049798,76.6
"510","seq_510",-0.258531,0
"511","seq_511",-0.023324,91.8
"512","seq_512",-0.189549,0
"513","seq_513",-0.315166,0
"514","seq_514",-0.40403,0
"515","seq_515",-0.272579,0
"516","seq_516",-0.136411,0
"517","seq_517",-0.32035,0
"518","seq_518",-0.209805,0
"519","seq_519",-0.125007,0
"520","seq_520",-0.367535,55.9
"521","seq_521",-0.161022,56.7
"522","seq_522",-0.201789,90.6
"523","seq_523",-0.21839,63.8
"524","seq_524",-0.193536,0
"525","seq_525",-0.454252,96
"526","seq_526",-0.14255,0
"527","seq_527",-0.239271,0
"528","seq_528",-0.100396,89.6
"529","seq_529",-0.249644,0
"530","seq_530",-0.348594,0
"531","seq_531",-0.215682,66.7
"532","seq_532",-0.22142,0
"533","seq_533",-0.20043,0
"534","seq_534",-0.034591,0
"535","seq_535",-0.230245,0
"536","seq_536",-0.398579,37.2
"537","seq_537",-0.294844,68.8
"538","seq_538",-0.165152,80.6
"539","seq_539",-0.183095,70.8
"540","seq_540",-0.08867,29.3
"541","seq_541",-0.308595,0
"542","seq_542",-0.106349,0
"543","seq_543",-0.35499,0
"544","seq_544",-0.424509,0
"545","seq_545",-0.408563,0
"546","seq_546",-0.29283,0
"547","seq_547",-0.190065,60.5
"548","seq_548",-0.23826,0
"549","seq_549",-0.072678,90.6
"550","seq_550",-0.165632,69.4
"551","seq_551",-0.242407,50.5
"552","seq_552",-0.200918,46.9
"553","seq_553",-0.25159,60
"554","seq_554",-0.449774,100
"555","seq_555",-0.144315,60.5
"556","seq_556",-0.274235,28.7
"557","seq_557",-0.416488,0
"558","seq_558",-0.416131,0
"559","seq_559",-0.23889,39.2
"560","seq_560",-0.411055,0
"561","seq_561",-0.228837,0
"562","seq_562",-0.165365,92.9
"563","seq_563",-0.035703,61.3
"564","seq_564",-0.091896,0
"565","seq_565",-0.198239,0
"566","seq_566",-0.251492,0
"567","seq_567",-0.234283,0
"568","seq_568",-0.297773,0
"569","seq_569",-0.240827,64.7
"570","seq_570",-0.433071,0
"571","seq_571",-0.228151,47
"572","seq_572",-0.21833,54.1
"573","seq_573",-0.461188,0
"574","seq_574",-0.119002,0
"575","seq_575",-0.281102,0
"576","seq_576",-0.388578,0
"577","seq_577",-0.306785,0
"578","seq_578",-0.227711,68.3
"579","seq_579",-0.224331,48.2
"580","seq_580",-0.421809,55.6
"581","seq_581",-0.28156,0
"582","seq_582",-0.223013,62.2
"583","seq_583",-0.186373,55.3
"584","seq_584",-0.285309,100
"585","seq_585",-0.126053,0
"586","seq_586",-0.163892,62.5
"587","seq_587",-0.152776,0
"588","seq_588",-0.370095,0
"589","seq_589",-0.484128,100
"590","seq_590",-0.263491,0
"591","seq_591",-0.335063,0
"592","seq_592",-0.175813,85.3
"593","seq_593",-0.416619,0
"594","seq_594",-0.238122,57.7
"595","seq_595",-0.256799,0
"596","seq_596",-0.372525,0
"597","seq_597",-0.137677,0
"598","seq_598",-0.480006,40.2
"599","seq_599",-0.048463,0
"600","seq_600",-0.313282,0
"601","seq_601",-0.272006,0
"602","seq_602",-0.35912,0
"603","seq_603",-0.140627,0
"604","seq_604",-0.388335,83.8
"605","seq_605",-0.396553,0
"606","seq_606",-0.269871,45.8
"607","seq_607",-0.244609,62.4
"608","seq_608",-0.277063,0
"609","seq_609",-0.264976,0
"610","seq_610",-0.119803,72.5
"611","seq_611",-0.224934,0
"612","seq_612",-0.248765,0
"613","seq_613",-0.469347,92.9
"614","seq_614",-0.225334,71.6
"615","seq_615",-0.302542,44.3
"616","seq_616",-0.223859,0
"617","seq_617",-0.434603,68.4
"618","seq_618",-0.463059,0
"619","seq_619",-0.237643,67
"620","seq_620",-0.119674,76.8
"621","seq_621",-0.263679,0
"622","seq_622",-0.268345,0
"623","seq_623",-0.269603,0
"624","seq_624",-0.183703,0
"625","seq_625",-0.383306,0
"626","seq_626",-0.168029,0
"627","seq_627",-0.215478,0
"628","seq_628",-0.212021,70.5
"629","seq_629",-0.182432,0
"630","seq_630",-0.17169,58.5
"631","seq_631",-0.216986,0
"632","seq_632",-0.285595,0
"633","seq_633",-0.222525,0
"634","seq_634",-0.445781,0
"635","seq_635",-0.235308,63.5
"636","seq_636",-0.208072,0
"637","seq_637",-0.282344,56
"638","seq_638",-0.251843,46.9
"639","seq_639",-0.336084,0
"640","seq_640",-0.124334,74.2
"641","seq_641",-0.277406,68.4
"642","seq_642",-0.1797,73.2
"643","seq_643",-0.214605,70.2
"644","seq_644",-0.250881,41.6
"645","seq_645",-0.287331,0
"646","seq_646",-0.346041,0
"647","seq_647",-0.175843,56.8
"648","seq_648",-0.201393,63.3
"649","seq_649",-0.312891,0
"650","seq_650",-0.102995,0
"651","seq_651",-0.356939,0
"652","seq_652",-0.084085,0
"653","seq_653",-0.152827,0
"654","seq_654",-0.185439,0
"655","seq_655",-0.323588,0
"656","seq_656",-0.078563,0
"657","seq_657",-0.098907,0
"658","seq_658",-0.214052,0
"659","seq_659",-0.286325,0
"660","seq_660",-0.450566,79.7
"661","seq_661",-0.34158,0
"662","seq_662",-0.334546,0
"663","seq_663",-0.415465,44.4
"664","seq_664",-0.178747,41.4
"665","seq_665",-0.317712,56.3
"666","seq_666",-0.12104,71.9
"667","seq_667",-0.349211,0
"668","seq_668",-0.208068,0
"669","seq_669",-0.174922,0
"670","seq_670",-0.202621,0
"671","seq_671",-0.263564,69
"672","seq_672",-0.354032,96
"673","seq_673",-0.389156,0
"674","seq_674",-0.149179,72.7
"675","seq_675",-0.191755,0
"676","seq_676",-0.168981,0
"677","seq_677",-0.334814,0
"678","seq_678",-0.266466,0
"679","seq_679",-0.26126,0
"680","seq_680",-0.384372,0
"681","seq_681",-0.286215,0
"682","seq_682",-0.278455,0
"683","seq_683",-0.059517,41.8
"684","seq_684",-0.446805,80.6
"685","seq_685",-0.279034,0
"686","seq_686",-0.281828,0
"687","seq_687",-0.10454,76.6
"688","seq_688",-0.118078,53.5
"689","seq_689",-0.177998,53.5
"690","seq_690",-0.252253,57.6
"691","seq_691",-0.236669,0
"692","seq_692",-0.271052,0
"693","seq_693",-0.07767,0
"694","seq_694",-0.176435,82.1
"695","seq_695",-0.172582,91.2
"696","seq_696",-0.065572,0
"697","seq_697",-0.141008,0
"698","seq_698",-0.198094,0
"699","seq_699",-0.276959,64.5
"700","seq_700",-0.157413,0
"701","seq_701",-0.306797,0
"702","seq_702",-0.333664,0
"703","seq_703",-0.279375,0
"704","seq_704",-0.408322,0
"705","seq_705",-0.210921,0
"706","seq_706",-0.402011,98
"707","seq_707",-0.190562,42.3
"708","seq_708",-0.290921,0
"709","seq_709",-0.16966,0
"710","seq_710",-0.240263,0
"711","seq_711",-0.133307,0
"712","seq_712",-0.263189,0
"713","seq_713",-0.285497,58.1
"714","seq_714",-0.124401,0
"715","seq_715",-0.313358,0
"716","seq_716",-0.159649,49.4
"717","seq_717",-0.328196,0
"718","seq_718",-0.311263,0
"719","seq_719",-0.515267,98
"720","seq_720",-0.27397,52.8
"721","seq_721",-0.355319,0
"722","seq_722",-0.234019,42.9
"723","seq_723",-0.323002,0
"724","seq_724",-0.380698,0
"725","seq_725",-0.116053,0
"726","seq_726",-0.309457,0
"727","seq_727",-0.263333,0
"728","seq_728",-0.185516,48.5
"729","seq_729",-0.237558,54.3
"730","seq_730",-0.352693,41
"731","seq_731",-0.261055,56.9
"732","seq_732",-0.203157,0
"733","seq_733",-0.266673,0
"734","seq_734",-0.451696,73.7
"735","seq_735",-0.263855,0
"736","seq_736",-0.303329,0
"737","seq_737",-0.363651,90.1
"738","seq_738",-0.503482,90.9
"739","seq_739",-0.098883,98.5
"740","seq_740",-0.192147,47.5
"741","seq_741",-0.252049,0
"742","seq_742",-0.327481,0
"743","seq_743",-0.190612,0
"744","seq_744",-0.279859,0
"745","seq_745",-0.219847,0
"746","seq_746",-0.280497,0
"747","seq_747",-0.257443,0
"748","seq_748",-0.086237,76.1
"749","seq_749",-0.161802,0
"750","seq_750",-0.222095,43.4
"751","seq_751",-0.279227,0
"752","seq_752",-0.212154,0
"753","seq_753",-0.289126,0
"754","seq_754",-0.104012,0
"755","seq_755",-0.261398,0
"756","seq_756",-0.298582,0
"757","seq_757",-0.23494,59.3
"758","seq_758",-0.340343,0
"759","seq_759",-0.106008,73.7
"760","seq_760",-0.268111,0
"761","seq_761",-0.064433,80.6
"762","seq_762",-0.241082,0
"763","seq_763",-0.189284,64
"764","seq_764",-0.146645,64.1
"765","seq_765",-0.192612,0
"766","seq_766",-0.093613,0
"767","seq_767",-0.399883,0
"768","seq_768",-0.378671,0
"769","seq_769",-0.149651,0
"770","seq_770",-0.105393,67.3
"771","seq_771",-0.293559,0
"772","seq_772",-0.397357,54.7
"773","seq_773",-0.416735,0
"774","seq_774",-0.088639,100
"775","seq_775",-0.272158,0
"776","seq_776",-0.135658,0
"777","seq_777",-0.102027,0
"778","seq_778",-0.319793,0
"779","seq_779",-0.038463,0
"780","seq_780",-0.305873,31.1
"781","seq_781",-0.239935,0
"782","seq_782",-0.212718,50
"783","seq_783",-0.101177,0
"784","seq_784",-0.226843,0
"785","seq_785",-0.284256,0
"786","seq_786",-0.172794,0
"787","seq_787",-0.236796,0
"788","seq_788",-0.047401,0
"789","seq_789",-0.276913,71.3
"790","seq_790",-0.259734,0
"791","seq_791",-0.2485,0
"792","seq_792",-0.182153,0
"793","seq_793",-0.220752,0
"794","seq_794",-0.128742,68.8
"795","seq_795",-0.293033,0
"796","seq_796",-0.468385,46.7
"797","seq_797",-0.055072,0
"798","seq_798",-0.104842,0
"799","seq_799",-0.278357,0
"800","seq_800",-0.28908,52.9
"801","seq_801",-0.325222,0
"802","seq_802",-0.441391,0
"803","seq_803",-0.281611,0
"804","seq_804",-0.171781,48.7
"805","seq_805",-0.094062,77.9
"806","seq_806",-0.272271,0
"807","seq_807",-0.122519,70.8
"808","seq_808",-0.124529,0
"809","seq_809",-0.348846,0
"810","seq_810",-0.260496,0
"811","seq_811",-0.130432,0
"812","seq_812",-0.253845,0
"813","seq_813",-0.248021,0
"814","seq_814",-0.327485,0
"815","seq_815",-0.190673,53.8
"816","seq_816",-0.15618,0
"817","seq_817",-0.167994,0
"818","seq_818",-0.235802,0
"819","seq_819",-0.132903,0
"820","seq_820",-0.28581,0
"821","seq_821",-0.15767,0
"822","seq_822",-0.164005,0
"823","seq_823",-0.106402,0
"824","seq_824",-0.236789,0
"825","seq_825",-0.321017,0
"826","seq_826",-0.216994,0
"827","seq_827",-0.228538,0
"828","seq_828",-0.169981,0
"829","seq_829",-0.267476,0
"830","seq_830",-0.342308,0
"831","seq_831",-0.193784,71
"832","seq_832",-0.126808,0
"833","seq_833",-0.098259,75.8
"834","seq_834",-0.182913,61.1
"835","seq_835",-0.289667,0
"836","seq_836",-0.443773,60.9
"837","seq_837",-0.252122,0
"838","seq_838",-0.302933,0
"839","seq_839",-0.33873,0
"840","seq_840",-0.272116,41.5
"841","seq_841",-0.397473,0
